,SKEW,VIX,SPX,Credit_Spread,SPX_Return_1m,SKEW_Lag1
1990-01-31,329.0799865722656,128.22000122070312,25.360000610351562,1.68,0.4709977347468808,322.9800109863281
1990-02-01,328.7900085449219,129.52999877929688,24.8700008392334,1.68,0.3672347503601576,329.0799865722656
1990-02-02,330.9200134277344,132.52999877929688,24.31999969482422,1.59,0.2653486245405914,328.7900085449219
1990-02-05,331.8500061035156,121.22000122070312,24.540000915527344,1.59,0.22028842221394318,330.9200134277344
1990-02-06,329.6600036621094,120.30000305175781,24.690000534057617,1.56,0.2186574657023228,331.8500061035156
1990-02-07,333.75,123.3499984741211,24.290000915527344,1.62,0.09414414778205438,329.6600036621094
1990-02-08,332.9599914550781,124.87000274658203,23.770000457763672,1.65,0.05926915739986227,333.75
1990-02-09,333.6199951171875,126.05999755859375,23.690000534057617,1.8,0.18154620625964268,332.9599914550781
1990-02-12,330.0799865722656,126.98999786376953,24.3799991607666,1.71,-0.010551957602363604,333.6199951171875
1990-02-13,331.0199890136719,133.05999755859375,23.760000228881836,1.75,-0.0979498826408538,330.0799865722656
1990-02-14,332.010009765625,131.5500030517578,22.049999237060547,1.76,-0.08808937308653808,331.0199890136719
1990-02-15,334.8900146484375,139.07000732421875,19.709999084472656,1.7,-0.18418877446375947,332.010009765625
1990-02-16,332.7200012207031,136.61000061035156,20.780000686645508,1.68,-0.1462612754159689,334.8900146484375
1990-02-20,327.989990234375,126.47000122070312,22.780000686645508,1.52,0.0124444749620225,332.7200012207031
1990-02-21,327.6700134277344,129.1699981689453,23.889999389648438,1.58,-0.10524349411972289,327.989990234375
1990-02-22,325.70001220703125,124.80000305175781,22.540000915527344,1.66,-0.08818763990213574,327.6700134277344
1990-02-23,324.1499938964844,125.81999969482422,23.690000534057617,1.68,-0.06695545082541099,325.70001220703125
1990-02-26,328.6700134277344,130.69000244140625,23.559999465942383,1.76,-0.08076471957099762,324.1499938964844
1990-02-27,330.260009765625,131.4499969482422,22.690000534057617,1.78,-0.13660578610304952,328.6700134277344
1990-02-28,331.8900146484375,123.0999984741211,21.989999771118164,1.68,-0.16830562303534613,330.260009765625
1990-03-01,332.739990234375,123.95999908447266,21.899999618530273,1.61,-0.1963302892282468,331.8900146484375
1990-03-02,335.5400085449219,126.44000244140625,21.34000015258789,1.66,-0.1585173643932315,332.739990234375
1990-03-05,333.739990234375,124.23999786376953,22.030000686645508,1.63,-0.11419381008253449,335.5400085449219
1990-03-06,337.92999267578125,124.86000061035156,20.549999237060547,1.65,-0.15501646813614078,333.739990234375
1990-03-07,336.95001220703125,121.08000183105469,19.100000381469727,1.61,-0.2216789050979836,337.92999267578125
1990-03-08,340.2699890136719,124.45999908447266,19.739999771118164,1.66,-0.20048605329559943,336.95001220703125
1990-03-09,337.92999267578125,125.5999984741211,20.299999237060547,1.59,-0.16426519259273453,340.2699890136719
1990-03-12,338.6700134277344,129.69000244140625,20.06999969482422,1.61,-0.15565842203132862,337.92999267578125
1990-03-13,336.0,128.07000732421875,21.049999237060547,1.5,-0.11143947815457866,338.6700134277344
1990-03-14,336.8699951171875,131.82000732421875,19.649999618530273,1.58,-0.1940114727258916,336.0
1990-03-15,338.07000732421875,133.02000427246094,18.809999465942383,1.57,-0.20833336343668896,336.8699951171875
1990-03-16,341.9100036621094,136.72999572753906,17.6200008392334,1.6,-0.20090696376902484,338.07000732421875
1990-03-19,343.5299987792969,138.69000244140625,18.290000915527344,1.61,-0.07204455783379382,341.9100036621094
1990-03-20,341.57000732421875,134.1999969482422,19.059999465942383,1.62,-0.08277195206295174,343.5299987792969
1990-03-21,339.739990234375,132.5800018310547,20.100000381469727,1.61,-0.11764706867401009,341.57000732421875
1990-03-22,335.69000244140625,129.8000030517578,22.739999771118164,1.64,-0.04813728120179728,339.739990234375
1990-03-23,337.2200012207031,130.75999450683594,20.459999084472656,1.65,-0.09228046790458722,335.69000244140625
1990-03-26,337.6300048828125,129.89999389648438,19.59000015258789,1.67,-0.17306881760409487,337.2200012207031
1990-03-27,341.5,135.3300018310547,21.010000228881836,1.65,-0.10823426548658233,337.6300048828125
1990-03-28,342.0,133.50999450683594,19.770000457763672,1.69,-0.12869105366088618,341.5
1990-03-29,340.7900085449219,131.1999969482422,18.459999084472656,1.61,-0.1605275454018803,342.0
1990-03-30,339.94000244140625,111.33000183105469,19.729999542236328,1.58,-0.09908676320057286,340.7900085449219
1990-04-02,338.70001220703125,126.45999908447266,22.84000015258789,1.59,0.07029053370546001,339.94000244140625
1990-04-03,343.6400146484375,117.62999725341797,20.440000534057617,1.59,-0.07217431243893435,338.70001220703125
1990-04-04,341.0899963378906,114.12999725341797,22.030000686645508,1.66,0.07201953793340676,343.6400146484375
1990-04-05,340.7300109863281,114.41999816894531,21.209999084472656,1.64,0.11047113407652032,341.0899963378906
1990-04-06,340.0799865722656,114.91000366210938,21.760000228881836,1.64,0.10233031819580662,340.7300109863281
1990-04-09,341.3699951171875,117.5999984741211,22.299999237060547,1.6,0.09852217119046558,340.0799865722656
1990-04-10,342.07000732421875,119.08999633789062,21.690000534057617,1.58,0.08071753183191,341.3699951171875
1990-04-11,341.9200134277344,108.87000274658203,17.729999542236328,1.55,-0.15771970618312614,342.07000732421875
1990-04-12,344.3399963378906,121.5199966430664,19.799999237060547,1.53,0.007633568521234091,341.9200134277344
1990-04-16,344.739990234375,126.05000305175781,20.75,1.51,0.10313666077291539,344.3399963378906
1990-04-17,344.67999267578125,131.24000549316406,20.3799991607666,1.47,0.15664007889191933,344.739990234375
1990-04-18,340.7200012207031,122.73999786376953,22.670000076293945,1.45,0.23947506514601602,344.67999267578125
1990-04-19,338.0899963378906,120.7699966430664,22.459999084472656,1.45,0.17838403535139702,340.7200012207031
1990-04-20,335.1199951171875,120.87999725341797,23.329999923706055,1.42,0.16069649158882982,338.0899963378906
1990-04-23,331.04998779296875,120.02999877929688,24.15999984741211,1.44,0.062445034766335894,335.1199951171875
1990-04-24,330.3599853515625,124.55999755859375,21.700000762939453,1.42,0.06060614535451525,331.04998779296875
1990-04-25,332.0299987792969,127.02999877929688,20.860000610351562,1.41,0.06482901724714396,330.3599853515625
1990-04-26,332.9200134277344,124.51000213623047,20.25,1.42,-0.03617326133281451,332.0299987792969
1990-04-27,329.1099853515625,118.83999633789062,22.190000534057617,1.45,0.12240768944158575,332.9200134277344
1990-04-30,330.79998779296875,110.48999786376953,19.520000457763672,1.5,0.05742152902827713,329.1099853515625
1990-05-01,332.25,111.98999786376953,18.43000030517578,1.47,-0.06588947122262312,330.79998779296875
1990-05-02,334.4800109863281,128.49000549316406,19.31999969482422,1.47,-0.15411560570260496,332.25
1990-05-03,335.57000732421875,114.2699966430664,17.809999465942383,1.51,-0.12866932482379656,334.4800109863281
1990-05-04,338.3900146484375,116.3499984741211,17.280000686645508,1.67,-0.21561506363816996,335.57000732421875
1990-05-07,340.5299987792969,117.22000122070312,17.649999618530273,1.65,-0.16784533802967372,338.3900146484375
1990-05-08,342.010009765625,117.83000183105469,18.489999771118164,1.67,-0.15027575475038057,340.5299987792969
1990-05-09,342.8599853515625,117.2699966430664,18.639999389648438,1.61,-0.16412555931076112,342.010009765625
1990-05-10,343.82000732421875,119.5,18.59000015258789,1.68,-0.14292302006180724,342.8599853515625
1990-05-11,352.0,119.51000213623047,19.809999465942383,1.77,0.11731528355379184,343.82000732421875
1990-05-14,354.75,123.12000274658203,20.139999389648438,1.76,0.017171725539842253,352.0
1990-05-15,354.2799987792969,125.0999984741211,19.489999771118164,1.72,-0.06072290259671498,354.75
1990-05-16,354.0,125.69999694824219,17.709999084472656,1.69,-0.13101080403545573,354.2799987792969
1990-05-17,354.4700012207031,121.94999694824219,17.270000457763672,1.65,-0.23820024703824605,354.0
1990-05-18,354.6400146484375,124.68000030517578,17.200000762939453,1.62,-0.23419405770010093,354.4700012207031
1990-05-21,358.0,127.3499984741211,16.719999313354492,1.64,-0.2833262165438336,354.6400146484375
1990-05-22,358.42999267578125,124.87999725341797,17.84000015258789,1.7,-0.2615893929941884,358.0
1990-05-23,359.2900085449219,118.80000305175781,17.18000030517578,1.73,-0.20829494464733833,358.42999267578125
1990-05-24,358.4100036621094,117.30000305175781,17.700000762939453,1.69,-0.1514860860475714,359.2900085449219
1990-05-25,354.5799865722656,111.93000030517578,17.31999969482422,1.62,-0.14469137309510027,358.4100036621094
1990-05-29,360.6499938964844,122.18000030517578,18.75,1.66,-0.15502480627604498,354.5799865722656
1990-05-30,360.8599853515625,119.87999725341797,17.440000534057617,1.68,-0.10655737064180126,360.6499938964844
